site,url,status,html_lang,bytes,evidence,title_count,title,description,canonical,source_hreflang_count,code_widget_count,jsonld_parse_errors
kr,https://beautyblossom.kr/,200,ko,1300779,pages\kr\18496df68c41b0d9.json,1,홍대피부과ㅣ합정피부과ㅣ뷰티블라썸의원,"홍대피부과, 합정피부과, 홍대보톡스, 홍대필러, 홍대리프팅, 홍대울쎄라, 홍대써마지, 홍대리쥬란, 홍대스킨부스터, 홍대뷰티블라썸, 홍대피부관리",https://beautyblossom.kr/,0,4,0
kr,https://beautyblossom.kr/110,200,ko,717889,pages\kr\23935875420a18ec.json,1,홍대 라라필 | 홍대 LHA필링 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대라라필, 합정라라필, 라라필, LHA필링, 모공정화, 피지관리, 각질관리, 피부결개선, 민감성피부, 홍대피부과",https://beautyblossom.kr/110,0,6,0
kr,https://beautyblossom.kr/111,200,ko,644959,pages\kr\2f31be96be88d97e.json,1,홍대 필링 | 홍대 피부관리 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대필링, 홍대피부관리, 합정필링, 아쿠아필, 블랙필, 라라필, 물톡스, 여드름관리, 수분관리, 화이트닝, 홍대피부과",https://beautyblossom.kr/111,0,5,0
kr,https://beautyblossom.kr/112,200,ko,522259,pages\kr\57c8439a0609d9b5.json,1,홍대피부과 시술주의사항 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대피부과, 합정피부과, 시술주의사항, 시술전후관리, 보톡스주의사항, 리프팅주의사항, 뷰티블라썸의원",https://beautyblossom.kr/112,0,1,0
kr,https://beautyblossom.kr/114,200,ko,733673,pages\kr\651e33f107004236.json,1,홍대 쥬베룩 | 홍대 스킨부스터 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대쥬베룩, 홍대스킨부스터, 합정쥬베룩, 쥬베룩볼륨, 쥬베룩스킨, 콜라겐재생, 피부탄력, 잔주름개선, 모공개선, 홍대피부과",https://beautyblossom.kr/114,0,6,0
kr,https://beautyblossom.kr/115,200,ko,735004,pages\kr\ad8b6f5024f54828.json,1,홍대 울트라콜 | 홍대 콜라겐부스터 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대울트라콜, 합정울트라콜, 콜라겐부스터, 콜라겐생성, 피부탄력, 볼륨개선, 동안시술, 스킨부스터, 홍대피부과",https://beautyblossom.kr/115,0,5,0
kr,https://beautyblossom.kr/116,200,ko,737593,pages\kr\ddb5e170f86e0a19.json,1,홍대 리쥬란 |홍대 스킨부스터 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 합정리쥬란, 홍대리쥬란, 리쥬란힐러, 리쥬란HB, 피부재생, PDRN주사, 연어주사, 피부탄력, 수분개선, 합정피부과",https://beautyblossom.kr/116,0,5,0
kr,https://beautyblossom.kr/117,200,ko,724599,pages\kr\df6defc8e14e8b45.json,1,홍대 릴리이드 | 홍대 스킨부스터 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대릴리이드, 합정릴리이드, 릴리이드, 스킨부스터, 피부재생, 피부탄력, 피부결개선, 민감성피부, 홍대피부과",https://beautyblossom.kr/117,0,6,0
kr,https://beautyblossom.kr/118,200,ko,731598,pages\kr\9cfee414f3fc049f.json,1,홍대 엑소힐러 | 홍대 엑소좀 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대엑소힐러, 합정엑소힐러, 엑소힐러, 엑소좀, 피부재생, 피부장벽회복, 스킨부스터, 피부탄력, 피부결개선, 홍대피부과",https://beautyblossom.kr/118,0,6,0
kr,https://beautyblossom.kr/119,200,ko,696433,pages\kr\61fe1bf79de59d54.json,1,홍대 연어주사 | 홍대 PDRN주사 | 뷰티블라썸의원,"홍대입구역 9번출구, 합정역 3번출구, 홍대연어주사, 홍대PDRN, 합정연어주사, 연어주사, PDRN주사, 피부재생, 수분주사, 피부탄력, 피부결개선, 홍대피부과",https://beautyblossom.kr/119,0,5,0
